condition_cluster,condition_name,limit_mgNm3,status,scenario_base_emission_mgNm3,scenario_peak_excess_mgNm3,scenario_peak_total_mgNm3,predicted_power_kW,validation_error_adjusted_power_kW,validation_error_guard_kW,historical_power_kW,power_change_vs_historical_pct,mahalanobis_d2,support_threshold_d2,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,seed,base_supported_candidates,refined_supported_candidates,preliminary_power_kW,local_refinement_improvement_pct
2,高温中浓度低流量,10.0,SCENARIO_FEASIBLE,8.887092176648569,1.112247890403579,9.999340067052147,1693.0393112975255,1704.8153980564916,11.776086758966064,1870.8927285318557,-9.506339648553608,8.776256205657454,18.719515286292747,58.2,56.6,50.5,48.0,258.0,258.0,465.0,461.0,20260806,128104,188044,1697.747743388632,0.2781053020852742
2,高温中浓度低流量,5.0,SCENARIO_FEASIBLE,3.907561470893624,1.0863084054235304,4.993869876317154,1937.341590530321,1949.117677289287,11.776086758966064,1870.8927285318557,3.551719507222062,7.684189767799729,18.719515286292747,64.3,65.4,54.5,53.0,255.0,252.0,453.0,458.0,20260806,128104,188044,1947.3770277677224,0.5180004025337803
3,高温高浓度高流量,10.0,SCENARIO_FEASIBLE,8.506269274918541,1.4592277509493927,9.965497025867933,1596.83154203572,1608.6076287946862,11.776086758966064,1763.0767395626242,-9.429266111703427,4.579911135056974,16.848383238631552,53.0,54.9,46.5,47.3,253.0,253.0,469.0,466.0,20260806,92225,152120,1602.526130135061,0.3566179618472054
3,高温高浓度高流量,5.0,SCENARIO_FEASIBLE,3.560231859896485,1.436115600385117,4.996347460281602,1815.761669467645,1827.5377562266112,11.776086758966064,1763.0767395626242,2.988238045616254,13.377835882286416,16.848383238631552,62.6,60.1,52.2,49.6,252.0,252.0,454.0,460.0,20260806,92225,152120,1825.014387023209,0.509577755228019
4,低温高浓度低流量,10.0,SCENARIO_FEASIBLE,8.456787603469305,1.538690338292315,9.99547794176162,1533.268293296324,1545.04438005529,11.776086758966064,1696.550641025641,-9.624372169085715,8.061671161912747,19.092644518304922,51.5,52.8,47.3,46.2,268.0,268.0,467.0,468.0,20260806,148970,207709,1542.0675689491322,0.5738901463807844
4,低温高浓度低流量,5.0,SCENARIO_FEASIBLE,3.458254501945744,1.5393730209333496,4.997627522879093,1735.2945723053358,1747.070659064302,11.776086758966064,1696.550641025641,2.283688464275513,17.9068211437155,19.092644518304922,60.5,59.9,52.9,46.5,268.0,267.0,467.0,472.0,20260806,148970,207709,1741.1553847521416,0.33774164573221466
1,低温低浓度高流量,10.0,SCENARIO_FEASIBLE,9.032379460115447,0.946880245017665,9.979259705133112,1634.5068621588098,1646.282948917776,11.776086758966064,1818.3502082093992,-10.110447658574373,10.02062980882352,20.547590325920474,55.0,54.2,51.6,48.0,267.0,268.0,457.0,461.0,20260807,170155,229964,1640.3959918979006,0.3603000926721389
1,低温低浓度高流量,5.0,SCENARIO_FEASIBLE,4.055546889550282,0.9434897930760586,4.999036682626341,1852.7092264528949,1864.485313211861,11.776086758966064,1818.3502082093992,1.8895710016900713,11.718012139260562,20.547590325920474,65.1,58.6,53.6,54.3,267.0,264.0,463.0,459.0,20260807,170155,229964,1861.5741460923944,0.47848413085693764
2,高温中浓度低流量,10.0,SCENARIO_FEASIBLE,8.892854483428401,1.1059865665828896,9.99884105001129,1691.0802817561587,1702.8563685151248,11.776086758966064,1870.8927285318557,-9.611050598117465,18.144626964770794,18.719515286292747,58.1,56.6,53.2,44.5,258.0,258.0,465.0,450.0,20260807,128589,188503,1702.5508090911794,0.6782958478534606
2,高温中浓度低流量,5.0,SCENARIO_FEASIBLE,3.8896180796830393,1.1075223909256648,4.997140470608704,1928.3762440367166,1940.1523307956827,11.776086758966064,1870.8927285318557,3.072517981828371,10.632644095341501,18.719515286292747,65.1,64.2,53.7,54.5,257.0,256.0,465.0,462.0,20260807,128589,188503,1941.8578163290376,0.6991152444452364
3,高温高浓度高流量,10.0,SCENARIO_FEASIBLE,8.51625153551896,1.466099280050525,9.982350815569484,1595.763206668214,1607.5392934271802,11.776086758966064,1763.0767395626242,-9.489861055958148,7.606209921741016,16.848383238631552,53.5,53.8,44.8,49.8,253.0,253.0,469.0,475.0,20260807,92758,152074,1600.4121979058975,0.2913334019895242
3,高温高浓度高流量,5.0,SCENARIO_FEASIBLE,3.535973288623793,1.4373307211182984,4.973304009742091,1816.1826437693978,1827.958730528364,11.776086758966064,1763.0767395626242,3.012115299073592,15.611136444517731,16.848383238631552,60.6,61.1,52.6,50.6,253.0,252.0,442.0,473.0,20260807,92758,152074,1824.1850222994237,0.4406152959053333
4,低温高浓度低流量,10.0,SCENARIO_FEASIBLE,8.417280656367815,1.5302609585590052,9.94754161492682,1536.466226798265,1548.2423135572312,11.776086758966064,1696.550641025641,-9.43587596834703,9.85261852857682,19.092644518304922,53.1,51.1,47.1,46.6,268.0,268.0,453.0,474.0,20260807,148881,200250,1545.0939935769352,0.5615331224461118
4,低温高浓度低流量,5.0,SCENARIO_FEASIBLE,3.443001173055811,1.5400527382606894,4.9830539113165,1738.8613061566887,1750.6373929156548,11.776086758966064,1696.550641025641,2.49392291086985,18.926507773140738,19.092644518304922,57.0,62.7,53.1,47.4,268.0,267.0,471.0,468.0,20260807,148881,200250,1745.5076904236998,0.3822262444669322
1,低温低浓度高流量,10.0,SCENARIO_FEASIBLE,9.027944657343218,0.9467781212635297,9.974722778606747,1634.7804856824116,1646.5565724413777,11.776086758966064,1818.3502082093992,-10.095399758430245,10.108914469059721,20.547590325920474,54.9,54.5,51.6,47.8,267.0,268.0,456.0,462.0,20260808,170050,229593,1641.5488384088123,0.4140221140195077
1,低温低浓度高流量,5.0,SCENARIO_FEASIBLE,4.040179483062882,0.95354549261264,4.993724975675522,1849.6251258129987,1861.4012125719648,11.776086758966064,1818.3502082093992,1.7199611748276666,7.939093337742921,20.547590325920474,62.8,62.8,53.4,52.8,267.0,268.0,466.0,464.0,20260808,170050,229593,1854.9197602643617,0.2862544619162133
2,高温中浓度低流量,10.0,SCENARIO_FEASIBLE,8.887243684409372,1.0942277537018088,9.98147143811118,1694.382156334514,1706.1582430934802,11.776086758966064,1870.8927285318557,-9.43456401884969,17.422404665094543,18.719515286292747,58.1,52.9,52.2,49.7,258.0,258.0,444.0,455.0,20260808,128434,176924,1700.8025144316919,0.3789203086904003
2,高温中浓度低流量,5.0,SCENARIO_FEASIBLE,3.899897234488221,1.0954708632539172,4.995368097742138,1931.6882969690896,1943.4643837280557,11.776086758966064,1870.8927285318557,3.2495485983818018,7.780342292190639,18.719515286292747,63.7,65.3,54.8,53.5,257.0,258.0,450.0,453.0,20260808,128434,176924,1935.0720090024683,0.17516863557582862
3,高温高浓度高流量,10.0,SCENARIO_FEASIBLE,8.547717194862352,1.4484514348969366,9.996168629759289,1594.7792590654349,1606.555345824401,11.776086758966064,1763.0767395626242,-9.545669608172568,13.36147946001554,16.848383238631552,57.9,49.8,47.8,45.2,253.0,252.0,464.0,461.0,20260808,92099,151528,1607.0709537512873,0.7707458330663108
3,高温高浓度高流量,5.0,SCENARIO_FEASIBLE,3.5458518795582057,1.4513672672454347,4.997219146803641,1811.171251558049,1822.9473383170152,11.776086758966064,1763.0767395626242,2.7278740009556213,15.151033501087031,16.848383238631552,61.5,61.4,52.6,49.1,253.0,253.0,463.0,463.0,20260808,92099,151528,1829.0287007566083,0.985961387317591
4,低温高浓度低流量,10.0,SCENARIO_FEASIBLE,8.454236071395783,1.5395546391088597,9.993790710504642,1532.4811756097376,1544.2572623687038,11.776086758966064,1696.550641025641,-9.670767346898412,7.904843942791915,19.092644518304922,52.2,51.4,48.0,46.2,268.0,268.0,472.0,463.0,20260808,149126,208949,1542.2146647284474,0.6351457540636263
4,低温高浓度低流量,5.0,SCENARIO_FEASIBLE,3.4630556289632017,1.5336876003588484,4.99674322932205,1737.6140103914356,1749.3900971504017,11.776086758966064,1696.550641025641,2.4204033980954387,17.466186890417028,19.092644518304922,61.9,60.0,50.9,46.8,268.0,268.0,460.0,470.0,20260808,149126,208949,1742.748298431932,0.2954792036546472
1,低温低浓度高流量,10.0,SCENARIO_FEASIBLE,9.030504275464748,0.9539190200802633,9.984423295545012,1634.4813204001516,1646.2574071591177,11.776086758966064,1818.3502082093992,-10.111852325208048,8.89760134039195,20.547590325920474,56.6,55.2,49.0,48.2,267.0,268.0,465.0,466.0,20260809,170332,229989,1640.2186781721011,0.3510200881674752
1,低温低浓度高流量,5.0,SCENARIO_FEASIBLE,4.038462865426027,0.9527539541456527,4.9912168195716795,1845.1921089356747,1856.9681956946408,11.776086758966064,1818.3502082093992,1.4761678253776944,15.076599295613727,20.547590325920474,65.3,57.9,54.8,53.5,267.0,268.0,463.0,466.0,20260809,170332,229989,1854.6239179178233,0.5111559352803052
2,高温中浓度低流量,10.0,SCENARIO_FEASIBLE,8.865563269710751,1.1028206819491182,9.96838395165987,1695.7437334778167,1707.5198202367828,11.776086758966064,1870.8927285318557,-9.361787150216971,11.45894551834757,18.719515286292747,58.4,56.2,51.5,47.0,258.0,258.0,449.0,464.0,20260809,128718,188682,1704.1402412207162,0.49515192520741547
2,高温中浓度低流量,5.0,SCENARIO_FEASIBLE,3.8911342478697004,1.1008270711781096,4.99196131904781,1929.2911502836969,1941.067237042663,11.776086758966064,1870.8927285318557,3.121420103955841,10.563357565144884,18.719515286292747,63.8,64.7,54.8,54.1,257.0,254.0,458.0,465.0,20260809,128718,188682,1937.723481371328,0.4370688730102268
3,高温高浓度高流量,10.0,SCENARIO_FEASIBLE,8.53633598341065,1.4571210425955787,9.99345702600623,1595.275467180009,1607.051553938975,11.776086758966064,1763.0767395626242,-9.517525165934781,4.495364203460189,16.848383238631552,53.5,54.4,47.4,46.1,253.0,253.0,470.0,462.0,20260809,92163,149521,1603.0114238646113,0.4849292077610423
3,高温高浓度高流量,5.0,SCENARIO_FEASIBLE,3.55741349342341,1.4339912416546818,4.991404735078092,1818.947027052929,1830.723113811895,11.776086758966064,1763.0767395626242,3.1689084335696505,15.379349514293585,16.848383238631552,62.1,59.9,51.0,51.9,247.0,253.0,451.0,473.0,20260809,92163,149521,1826.1224297361935,0.3944811243288493
4,低温高浓度低流量,10.0,SCENARIO_FEASIBLE,8.455856587507537,1.5434676189936665,9.999324206501203,1532.783177860426,1544.559264619392,11.776086758966064,1696.550641025641,-9.652966389863272,6.849349971446565,19.092644518304922,51.0,51.2,47.8,48.2,268.0,268.0,468.0,473.0,20260809,148894,189572,1541.6738838102272,0.5800367643786108
4,低温高浓度低流量,5.0,SCENARIO_FEASIBLE,3.462481767563545,1.536987934370438,4.999469701933983,1735.416440556452,1747.1925273154181,11.776086758966064,1696.550641025641,2.2908717600857997,18.1358422530959,19.092644518304922,61.0,59.9,52.6,46.1,268.0,268.0,466.0,467.0,20260809,148894,189572,1740.5857699274939,0.2978725595906173
