outlet_scale,alpha_profile,peak_exponent,phase_scale,tstar_load_exponent,all_conditions_feasible,weighted_power_10_kW,weighted_power_5_kW,weighted_power_increase_pct
0.08,weak_front,1.35,0.65,-0.1,True,1561.7457996182943,1745.7352684205355,11.781012559611813
0.08,weak_front,1.35,0.8,-0.3,True,1564.4544151331902,1754.7697270287233,12.164963712242805
0.08,weak_front,1.35,0.8,-0.18,True,1565.248720138238,1756.845346882275,12.240650593032631
0.08,weak_front,1.35,0.8,-0.1,True,1565.248720138238,1754.710175995894,12.104239627867152
0.08,weak_front,1.35,1.0,-0.3,True,1570.4643457354873,1775.3796168198392,13.048068976592075
0.08,weak_front,1.35,1.0,-0.18,True,1570.4643457354873,1774.4278798912999,12.987466713884
0.08,weak_front,1.35,1.0,-0.1,True,1571.2386661065011,1777.4917030164788,13.12677961401425
0.08,weak_front,1.6,0.65,-0.3,True,1563.166379368054,1744.7243320196994,11.61475547632007
0.08,weak_front,1.6,0.65,-0.18,True,1561.7457996182943,1746.0309100629433,11.799942762112114
0.08,weak_front,1.6,0.65,-0.1,True,1561.7457996182943,1746.0309100629433,11.799942762112114
0.08,weak_front,1.6,0.8,-0.3,True,1564.4544151331902,1756.2089049693036,12.256956034080947
0.08,weak_front,1.6,0.8,-0.18,True,1565.248720138238,1756.845346882275,12.240650593032631
0.08,weak_front,1.6,0.8,-0.1,True,1565.248720138238,1757.4657763483717,12.280288348880287
0.08,weak_front,1.6,1.0,-0.3,True,1570.4643457354873,1776.5821420563439,13.124640293844214
0.08,weak_front,1.6,1.0,-0.18,True,1570.4643457354873,1775.3796168198392,13.048068976592075
0.08,weak_front,1.6,1.0,-0.1,True,1571.2386661065011,1777.668901468067,13.138057242003587
0.08,central_front,1.1,0.65,-0.3,True,1564.4544151331902,1748.1469931164042,11.741638248218011
0.08,central_front,1.1,0.65,-0.18,True,1565.248720138238,1748.2796944167799,11.693411527746033
0.08,central_front,1.1,0.65,-0.1,True,1565.248720138238,1748.312107145121,11.695482299497773
0.08,central_front,1.1,0.8,-0.3,True,1567.129885896401,1757.2529845183983,12.13192986318723
0.08,central_front,1.1,0.8,-0.18,True,1570.131662634456,1757.2529845183983,11.917556109274274
0.08,central_front,1.1,0.8,-0.1,True,1570.131662634456,1758.8906680760233,12.021858416946806
0.08,central_front,1.1,1.0,-0.3,True,1574.693127590881,1776.0180337450893,12.785024753503226
0.08,central_front,1.1,1.0,-0.18,True,1576.1358449669615,1776.0272293642126,12.682370306820934
0.08,central_front,1.1,1.0,-0.1,True,1576.5685830254386,1775.8142699071389,12.637933359000941
0.08,central_front,1.35,0.65,-0.3,True,1564.4544151331902,1748.9735698249385,11.794473070411527
0.08,central_front,1.35,0.65,-0.18,True,1565.248720138238,1748.2796944167799,11.693411527746033
0.08,central_front,1.35,0.65,-0.1,True,1565.248720138238,1748.312107145121,11.695482299497773
0.08,central_front,1.35,0.8,-0.3,True,1567.129885896401,1757.9020259138413,12.17334579184024
0.08,central_front,1.35,0.8,-0.18,True,1570.131662634456,1757.2529845183983,11.917556109274274
0.08,central_front,1.35,0.8,-0.1,True,1570.131662634456,1758.8906680760233,12.021858416946806
0.08,central_front,1.35,1.0,-0.3,True,1574.693127590881,1776.548742496362,12.818727113790063
0.08,central_front,1.35,1.0,-0.18,True,1576.1358449669615,1776.822657802643,12.732837304381484
0.08,central_front,1.35,1.0,-0.1,True,1576.5685830254386,1777.8782008940657,12.768846216782626
0.08,central_front,1.6,0.65,-0.3,True,1564.4544151331902,1748.9735698249385,11.794473070411527
0.08,central_front,1.6,0.65,-0.18,True,1565.248720138238,1749.1386838536553,11.748290310001131
0.08,central_front,1.6,0.65,-0.1,True,1565.248720138238,1748.312107145121,11.695482299497773
0.08,central_front,1.6,0.8,-0.3,True,1567.129885896401,1760.210868366784,12.320675153223837
0.08,central_front,1.6,0.8,-0.18,True,1570.131662634456,1757.9020259138413,11.958892858980597
0.08,central_front,1.6,0.8,-0.1,True,1570.131662634456,1759.5397094714663,12.063195166653129
0.08,central_front,1.6,1.0,-0.3,True,1574.8081765913112,1780.0418337386836,13.032295628004853
0.08,central_front,1.6,1.0,-0.18,True,1576.4160085008734,1777.2921797668948,12.742586359361386
0.08,central_front,1.6,1.0,-0.1,True,1576.5685830254386,1778.4089096453383,12.802508485394771
0.09,equal,1.1,0.65,-0.3,True,1580.5970640862188,1771.8222247699887,12.098286465837639
0.09,equal,1.1,0.65,-0.18,True,1581.458016390328,1771.8222247699887,12.037259693694935
0.09,equal,1.1,0.65,-0.1,True,1581.458016390328,1771.8222247699887,12.037259693694935
0.09,equal,1.1,0.8,-0.3,True,1581.7619625052243,1782.9735459742903,12.72072462473326
