alpha_profile,peak_exponent,phase_scale,tstar_load_exponent,all_conditions_feasible,weighted_power_10_kW,weighted_power_5_kW,weighted_power_increase_pct
weak_front,1.0,0.65,-0.3,True,1983.287244095808,2085.107129331321,5.133895029004409
weak_front,1.0,0.65,-0.18,True,1964.3237873725247,2108.588369669508,7.344236384264913
weak_front,1.0,0.65,-0.1,True,1983.7959611860729,2085.497969242157,5.126636511311311
weak_front,1.0,0.8,-0.3,True,1986.0882651383445,2093.9242171720075,5.429564935582132
weak_front,1.0,0.8,-0.18,True,1967.9153182175012,2094.1929622412754,6.41682306422382
weak_front,1.0,0.8,-0.1,True,1986.5966689969932,2094.59660193122,5.436429780623486
weak_front,1.0,1.0,-0.3,True,1989.8047531187485,2123.797886896937,6.733984003615068
weak_front,1.0,1.0,-0.18,True,1972.9747029513292,2106.493183412765,6.767369103197751
weak_front,1.0,1.0,-0.1,True,1994.559025371759,2125.138441065524,6.546781219945452
weak_front,1.3,0.65,-0.3,True,1964.7173550543696,2086.8468982354684,6.21613805501906
weak_front,1.3,0.65,-0.18,True,1984.0633079511695,2109.6366678205122,6.329100455923209
weak_front,1.3,0.65,-0.1,True,1964.8301203360195,2087.2368989727206,6.229891193634973
weak_front,1.3,0.8,-0.3,True,1968.312495497053,2116.416792475871,7.5244300545588505
weak_front,1.3,0.8,-0.18,True,1987.375095226987,2116.6901709458343,6.506827826786155
weak_front,1.3,0.8,-0.1,True,1987.2580425128863,2096.6003312780385,5.502168637691818
weak_front,1.3,1.0,-0.3,True,1991.1010595872358,2109.015863586735,5.922090364611798
weak_front,1.3,1.0,-0.18,True,1992.711790379396,2109.113003029791,5.841347113635176
weak_front,1.3,1.0,-0.1,True,1996.7132669852715,2109.3470471230266,5.640959170257576
weak_front,1.6,0.65,-0.3,True,1984.0632970751008,2110.6948098451207,6.382433108696661
weak_front,1.6,0.65,-0.18,True,1965.7284871882334,2110.968484306027,7.388609264423107
weak_front,1.6,0.65,-0.1,True,1985.0767127564566,2088.9796794265885,5.2342040991379735
weak_front,1.6,0.8,-0.3,True,1969.607188665182,2098.40162512042,6.5390925254757315
weak_front,1.6,0.8,-0.18,True,1969.5993255856952,2098.7844414503925,6.558954107393489
weak_front,1.6,0.8,-0.1,True,1969.990968035605,2118.6869746076254,7.548055244146323
weak_front,1.6,1.0,-0.3,True,1975.3166481506446,2112.31603053476,6.935565622472661
weak_front,1.6,1.0,-0.18,True,1994.5587984688736,2111.990922251154,5.887624063648933
weak_front,1.6,1.0,-0.1,True,1981.6928661475956,2113.8461338968427,6.6687058326123205
central_front,1.0,0.65,-0.3,True,1972.0424945285988,2097.0110821212443,6.337012916271778
central_front,1.0,0.65,-0.18,True,1964.4020565790854,2085.8397687882652,6.181917383076763
central_front,1.0,0.65,-0.1,True,1972.8636497029493,2098.1420572412644,6.350079365960148
central_front,1.0,0.8,-0.3,True,1974.4639291074595,2101.7958798189247,6.448937802020249
central_front,1.0,0.8,-0.18,True,1967.7200957774858,2102.6092833914986,6.855100372429512
central_front,1.0,0.8,-0.1,True,1968.263022604884,2094.1026835181756,6.393437232121024
central_front,1.0,1.0,-0.3,True,1977.3638473218994,2105.709113874159,6.490725858373891
central_front,1.0,1.0,-0.18,True,1972.988238324754,2105.5434577723954,6.71850023597671
central_front,1.0,1.0,-0.1,True,1978.4297095308116,2109.8178839798697,6.641033230349991
central_front,1.3,0.65,-0.3,True,1964.5465189365277,2098.011189126921,6.793663010975282
central_front,1.3,0.65,-0.18,True,1973.0431745491737,2087.5648220118733,5.804315330751275
central_front,1.3,0.65,-0.1,True,1965.1794861179822,2099.14296152618,6.816857002350929
central_front,1.3,0.8,-0.3,True,1974.690586231862,2102.805924205714,6.487868978923106
central_front,1.3,0.8,-0.18,True,1975.2428364029515,2103.6200678387904,6.499313860042766
central_front,1.3,0.8,-0.1,True,1975.7516153491633,2096.089512337424,6.090740154449725
central_front,1.3,1.0,-0.3,True,1977.8212188992127,2108.420789396684,6.603204033282584
